USAGE: ./time.sh <FILENAME> <MEMORY_SIZE>

Running FCFS on input/round_robin_fail.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=38%
time 200, 2 running, numprocesses=1, numholes=1, memusage=38%
time 400, 3 running, numprocesses=1, numholes=1, memusage=38%
time 600, simulation finished.

Running rr on input/round_robin_fail.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=38%
time 8, 2 running, numprocesses=2, numholes=1, memusage=75%
time 16, 3 running, numprocesses=2, numholes=2, memusage=75%
time 24, 1 running, numprocesses=2, numholes=1, memusage=75%
time 32, 2 running, numprocesses=2, numholes=2, memusage=75%
time 40, 3 running, numprocesses=2, numholes=1, memusage=75%
time 48, 1 running, numprocesses=2, numholes=2, memusage=75%
time 56, 2 running, numprocesses=2, numholes=1, memusage=75%
time 64, 3 running, numprocesses=2, numholes=2, memusage=75%
time 72, 1 running, numprocesses=2, numholes=1, memusage=75%
time 80, 2 running, numprocesses=2, numholes=2, memusage=75%
time 88, 3 running, numprocesses=2, numholes=1, memusage=75%
time 96, 1 running, numprocesses=2, numholes=2, memusage=75%
time 104, 2 running, numprocesses=2, numholes=1, memusage=75%
time 112, 3 running, numprocesses=2, numholes=2, memusage=75%
time 120, 1 running, numprocesses=2, numholes=1, memusage=75%
time 128, 2 running, numprocesses=2, numholes=2, memusage=75%
time 136, 3 running, numprocesses=2, numholes=1, memusage=75%
time 144, 1 running, numprocesses=2, numholes=2, memusage=75%
time 152, 2 running, numprocesses=2, numholes=1, memusage=75%
time 160, 3 running, numprocesses=2, numholes=2, memusage=75%
time 168, 1 running, numprocesses=2, numholes=1, memusage=75%
time 176, 2 running, numprocesses=2, numholes=2, memusage=75%
time 184, 3 running, numprocesses=2, numholes=1, memusage=75%
time 192, 1 running, numprocesses=2, numholes=2, memusage=75%
time 200, 2 running, numprocesses=2, numholes=1, memusage=75%
time 208, 3 running, numprocesses=2, numholes=2, memusage=75%
time 216, 1 running, numprocesses=2, numholes=1, memusage=75%
time 224, 2 running, numprocesses=2, numholes=2, memusage=75%
time 232, 3 running, numprocesses=2, numholes=1, memusage=75%
time 240, 1 running, numprocesses=2, numholes=2, memusage=75%
time 248, 2 running, numprocesses=2, numholes=1, memusage=75%
time 256, 3 running, numprocesses=2, numholes=2, memusage=75%
time 264, 1 running, numprocesses=2, numholes=1, memusage=75%
time 272, 2 running, numprocesses=2, numholes=2, memusage=75%
time 280, 3 running, numprocesses=2, numholes=1, memusage=75%
time 288, 1 running, numprocesses=2, numholes=2, memusage=75%
time 296, 2 running, numprocesses=2, numholes=1, memusage=75%
time 304, 3 running, numprocesses=2, numholes=2, memusage=75%
time 312, 1 running, numprocesses=2, numholes=1, memusage=75%
time 320, 2 running, numprocesses=2, numholes=2, memusage=75%
time 328, 3 running, numprocesses=2, numholes=1, memusage=75%
time 336, 1 running, numprocesses=2, numholes=2, memusage=75%
time 344, 2 running, numprocesses=2, numholes=1, memusage=75%
time 352, 3 running, numprocesses=2, numholes=2, memusage=75%
time 360, 1 running, numprocesses=2, numholes=1, memusage=75%
time 368, 2 running, numprocesses=2, numholes=2, memusage=75%
time 376, 3 running, numprocesses=2, numholes=1, memusage=75%
time 384, 1 running, numprocesses=2, numholes=2, memusage=75%
time 392, 2 running, numprocesses=2, numholes=1, memusage=75%
time 400, 3 running, numprocesses=2, numholes=2, memusage=75%
time 408, 1 running, numprocesses=2, numholes=1, memusage=75%
time 416, 2 running, numprocesses=2, numholes=2, memusage=75%
time 424, 3 running, numprocesses=2, numholes=1, memusage=75%
time 432, 1 running, numprocesses=2, numholes=2, memusage=75%
time 440, 2 running, numprocesses=2, numholes=1, memusage=75%
time 448, 3 running, numprocesses=2, numholes=2, memusage=75%
time 456, 1 running, numprocesses=2, numholes=1, memusage=75%
time 464, 2 running, numprocesses=2, numholes=2, memusage=75%
time 472, 3 running, numprocesses=2, numholes=1, memusage=75%
time 480, 1 running, numprocesses=2, numholes=2, memusage=75%
time 488, 2 running, numprocesses=2, numholes=1, memusage=75%
time 496, 3 running, numprocesses=2, numholes=2, memusage=75%
time 504, 1 running, numprocesses=2, numholes=1, memusage=75%
time 512, 2 running, numprocesses=2, numholes=2, memusage=75%
time 520, 3 running, numprocesses=2, numholes=1, memusage=75%
time 528, 1 running, numprocesses=2, numholes=2, memusage=75%
time 536, 2 running, numprocesses=2, numholes=1, memusage=75%
time 544, 3 running, numprocesses=2, numholes=2, memusage=75%
time 552, 1 running, numprocesses=2, numholes=1, memusage=75%
time 560, 2 running, numprocesses=2, numholes=2, memusage=75%
time 568, 3 running, numprocesses=2, numholes=1, memusage=75%
time 576, 1 running, numprocesses=2, numholes=2, memusage=75%
time 584, 2 running, numprocesses=2, numholes=2, memusage=75%
time 592, 3 running, numprocesses=1, numholes=2, memusage=38%
time 600, simulation finished.

Running multi-level-feedback- NO PREEMPT on input/round_robin_fail.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=38%
time 4, 2 running, numprocesses=2, numholes=1, memusage=75%
time 8, 3 running, numprocesses=2, numholes=2, memusage=75%
time 12, 1 running, numprocesses=2, numholes=1, memusage=75%
time 20, 2 running, numprocesses=2, numholes=2, memusage=75%
time 28, 3 running, numprocesses=2, numholes=1, memusage=75%
time 36, 1 running, numprocesses=2, numholes=2, memusage=75%
time 52, 2 running, numprocesses=2, numholes=1, memusage=75%
time 68, 3 running, numprocesses=2, numholes=2, memusage=75%
time 84, 1 running, numprocesses=2, numholes=1, memusage=75%
time 100, 2 running, numprocesses=2, numholes=2, memusage=75%
time 116, 3 running, numprocesses=2, numholes=1, memusage=75%
time 132, 1 running, numprocesses=2, numholes=2, memusage=75%
time 148, 2 running, numprocesses=2, numholes=1, memusage=75%
time 164, 3 running, numprocesses=2, numholes=2, memusage=75%
time 180, 1 running, numprocesses=2, numholes=1, memusage=75%
time 196, 2 running, numprocesses=2, numholes=2, memusage=75%
time 212, 3 running, numprocesses=2, numholes=1, memusage=75%
time 228, 1 running, numprocesses=2, numholes=2, memusage=75%
time 244, 2 running, numprocesses=2, numholes=1, memusage=75%
