USAGE: ./time.sh <FILENAME> <MEMORY_SIZE>

Running FCFS on input/keyboard.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 250, 2 running, numprocesses=2, numholes=1, memusage=53%
time 255, 3 running, numprocesses=2, numholes=1, memusage=53%
time 270, 1 running, numprocesses=1, numholes=1, memusage=50%
time 540, 1 running, numprocesses=1, numholes=1, memusage=50%
time 545, simulation finished.

Running rr on input/keyboard.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 8, 1 running, numprocesses=1, numholes=1, memusage=50%
time 16, 2 running, numprocesses=2, numholes=1, memusage=53%
time 21, 1 running, numprocesses=1, numholes=1, memusage=50%
time 29, 1 running, numprocesses=1, numholes=1, memusage=50%
time 37, 1 running, numprocesses=1, numholes=1, memusage=50%
time 45, 1 running, numprocesses=1, numholes=1, memusage=50%
time 53, 1 running, numprocesses=1, numholes=1, memusage=50%
time 61, 1 running, numprocesses=1, numholes=1, memusage=50%
time 69, 1 running, numprocesses=1, numholes=1, memusage=50%
time 77, 1 running, numprocesses=1, numholes=1, memusage=50%
time 85, 1 running, numprocesses=1, numholes=1, memusage=50%
time 93, 3 running, numprocesses=2, numholes=1, memusage=53%
time 98, 1 running, numprocesses=1, numholes=1, memusage=50%
time 106, 1 running, numprocesses=1, numholes=1, memusage=50%
time 114, 1 running, numprocesses=1, numholes=1, memusage=50%
time 122, 1 running, numprocesses=1, numholes=1, memusage=50%
time 130, 1 running, numprocesses=1, numholes=1, memusage=50%
time 138, 1 running, numprocesses=1, numholes=1, memusage=50%
time 146, 1 running, numprocesses=1, numholes=1, memusage=50%
time 154, 1 running, numprocesses=1, numholes=1, memusage=50%
time 162, 1 running, numprocesses=1, numholes=1, memusage=50%
time 170, 1 running, numprocesses=1, numholes=1, memusage=50%
time 178, 1 running, numprocesses=1, numholes=1, memusage=50%
time 186, 1 running, numprocesses=1, numholes=1, memusage=50%
time 194, 1 running, numprocesses=1, numholes=1, memusage=50%
time 202, 1 running, numprocesses=1, numholes=1, memusage=50%
time 210, 1 running, numprocesses=1, numholes=1, memusage=50%
time 218, 1 running, numprocesses=1, numholes=1, memusage=50%
time 226, 1 running, numprocesses=1, numholes=1, memusage=50%
