USAGE: ./time.sh <FILENAME> <MEMORY_SIZE>

Running FCFS on input/spec.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 100, 2 running, numprocesses=1, numholes=1, memusage=60%
time 150, 3 running, numprocesses=2, numholes=1, memusage=95%
time 210, 4 running, numprocesses=1, numholes=1, memusage=50%
time 250, 2 running, numprocesses=1, numholes=1, memusage=60%
time 275, 2 running, numprocesses=1, numholes=1, memusage=60%
time 295, simulation finished.

Running rr on input/spec.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 8, 1 running, numprocesses=1, numholes=1, memusage=50%
time 16, 2 running, numprocesses=1, numholes=1, memusage=60%
time 24, 1 running, numprocesses=1, numholes=1, memusage=50%
time 32, 3 running, numprocesses=2, numholes=1, memusage=85%
time 40, 2 running, numprocesses=1, numholes=1, memusage=60%
time 48, 4 running, numprocesses=1, numholes=1, memusage=50%
time 56, 1 running, numprocesses=2, numholes=1, memusage=100%
time 64, 3 running, numprocesses=2, numholes=2, memusage=85%
time 72, 2 running, numprocesses=2, numholes=1, memusage=95%
time 80, 4 running, numprocesses=2, numholes=1, memusage=85%
time 88, 1 running, numprocesses=2, numholes=1, memusage=85%
time 96, 3 running, numprocesses=2, numholes=1, memusage=85%
time 104, 2 running, numprocesses=2, numholes=1, memusage=95%
time 112, 4 running, numprocesses=2, numholes=1, memusage=85%
time 120, 1 running, numprocesses=2, numholes=1, memusage=85%
time 128, 3 running, numprocesses=2, numholes=1, memusage=85%
time 136, 2 running, numprocesses=2, numholes=1, memusage=95%
time 144, 4 running, numprocesses=2, numholes=1, memusage=85%
time 152, 1 running, numprocesses=2, numholes=1, memusage=85%
time 160, 3 running, numprocesses=2, numholes=1, memusage=85%
time 168, 2 running, numprocesses=2, numholes=1, memusage=95%
time 176, 4 running, numprocesses=2, numholes=1, memusage=85%
time 184, 1 running, numprocesses=2, numholes=1, memusage=85%
time 192, 3 running, numprocesses=2, numholes=1, memusage=85%
time 200, 2 running, numprocesses=2, numholes=1, memusage=95%
time 202, 1 running, numprocesses=2, numholes=1, memusage=85%
time 210, 3 running, numprocesses=2, numholes=1, memusage=85%
time 218, 1 running, numprocesses=2, numholes=1, memusage=85%
time 226, 3 running, numprocesses=2, numholes=1, memusage=85%
time 230, 1 running, numprocesses=1, numholes=2, memusage=50%
time 238, 2 running, numprocesses=1, numholes=1, memusage=60%
time 246, 1 running, numprocesses=1, numholes=1, memusage=50%
time 254, 2 running, numprocesses=1, numholes=1, memusage=60%
time 261, 1 running, numprocesses=1, numholes=1, memusage=50%
time 271, 2 running, numprocesses=1, numholes=1, memusage=60%
time 279, 2 running, numprocesses=1, numholes=1, memusage=60%
time 287, 2 running, numprocesses=1, numholes=1, memusage=60%
time 291, simulation finished.

Running multi-level-feedback- NO PREEMPT on input/spec.in. Memory size 200.

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 4, 1 running, numprocesses=1, numholes=1, memusage=50%
time 12, 2 running, numprocesses=1, numholes=1, memusage=60%
time 16, 2 running, numprocesses=1, numholes=1, memusage=60%
time 24, 3 running, numprocesses=2, numholes=1, memusage=95%
time 28, 4 running, numprocesses=2, numholes=2, memusage=85%
time 32, 3 running, numprocesses=2, numholes=2, memusage=85%
time 40, 4 running, numprocesses=2, numholes=2, memusage=85%
time 48, 1 running, numprocesses=2, numholes=2, memusage=85%
time 64, 2 running, numprocesses=2, numholes=2, memusage=95%
time 80, 3 running, numprocesses=2, numholes=2, memusage=95%
time 96, 4 running, numprocesses=2, numholes=2, memusage=85%
time 112, 1 running, numprocesses=2, numholes=2, memusage=85%
time 128, 2 running, numprocesses=2, numholes=2, memusage=95%
time 144, 3 running, numprocesses=2, numholes=2, memusage=95%
time 160, 4 running, numprocesses=2, numholes=2, memusage=85%
